Genus;Species;Species_names_pasted;Species_name;Comments_bernat;H;O;Arabia;NoArabia;Location
Ablepharus;pannonicus;Ablepharus_pannonicus;Ablepharus pannonicus;HAJARS_no_endem;0;1;1;0;Arabia
Acanthodactylus;blanfordii;Acanthodactylus_blanfordii;Acanthodactylus blanfordii;Genus Hajars;0;1;1;0;Arabia
Acanthodactylus;boskianus;Acanthodactylus_boskianus;Acanthodactylus boskianus asper;HAJARS_no_endem;0;1;1;0;Arabia
Acanthodactylus;opheodurus;Acanthodactylus_opheodurus;Acanthodactylus opheodurus;HAJARS_no_endem;0;1;1;0;Arabia
Acanthodactylus;schmidti;Acanthodactylus_schmidti;Acanthodactylus schmidti;Genus Hajars;0;1;1;0;Arabia
Acanthosaura;lepidogaster;Acanthosaura_lepidogaster;Acanthosaura lepidogaster;Backbone;0;1;0;1;No Arabia
Acrochordus;granulatus;Acrochordus_granulatus;Acrochordus granulatus;Backbone;0;1;0;1;No Arabia
Alopoglossus;angulatus;Alopoglossus_angulatus;Alopoglossus angulatus;Backbone;0;1;0;1;No Arabia
Anguis;fragilis;Anguis_fragilis;Anguis fragilis;Backbone;0;1;0;1;No Arabia
Anilius;scytale;Anilius_scytale;Anilius scytale;Backbone;0;1;0;1;No Arabia
Anniella;pulchra;Anniella_pulchra;Anniella pulchra;Backbone;0;1;0;1;No Arabia
Anolis;carolinensis;Anolis_carolinensis;Anolis carolinensis;Backbone;0;1;0;1;No Arabia
Aprasia;parapulchella;Aprasia_parapulchella;Aprasia parapulchella;Backbone;0;1;0;1;No Arabia
Asaccus;andersoni;Asaccus_andersoni;Asaccus andersoni;Genus Hajars;0;1;0;1;No Arabia
Asaccus;arnoldi;Asaccus_arnoldi;Asaccus arnoldi;Hajars;1;0;1;0;Arabia
Asaccus;caudivolvulus;Asaccus_caudivolvulus;Asaccus caudivolvulus;Hajars;1;0;1;0;Arabia
Asaccus;elisae;Asaccus_elisae;Asaccus elisae;Genus Hajars;0;1;0;1;No Arabia
Asaccus;gallagheri;Asaccus_gallagheri;Asaccus gallagheri;Hajars;1;0;1;0;Arabia
Asaccus;gardneri;Asaccus_gardneri;Asaccus gardneri;Hajars;1;0;1;0;Arabia
Asaccus;granularis;Asaccus_granularis;Asaccus granularis;Genus Hajars;0;1;0;1;No Arabia
Asaccus;griseonotus;Asaccus_griseonotus;Asaccus griseonotus;Genus Hajars;0;1;0;1;No Arabia
Asaccus;iranicus;Asaccus_iranicus;Asaccus iranicus;Genus Hajars;0;1;0;1;No Arabia
Asaccus;kermanshahensis;Asaccus_kermanshahensis;Asaccus kermanshahensis;Genus Hajars;0;1;0;1;No Arabia
Asaccus;kurdistanensis;Asaccus_kurdistanensis;Asaccus kurdistanensis;Genus Hajars;0;1;0;1;No Arabia
Asaccus;margaritae;Asaccus_margaritae;Asaccus margaritae;Hajars;1;0;1;0;Arabia
Asaccus;montanus;Asaccus_montanus;Asaccus montanus;Hajars;1;0;1;0;Arabia
Asaccus;nasrullahi;Asaccus_nasrullahi;Asaccus nasrullahi;Genus Hajars;0;1;0;1;No Arabia
Asaccus;platyrhynchus;Asaccus_platyrhynchus;Asaccus platyrhynchus;Hajars;1;0;1;0;Arabia
Asaccus;tangestanensis;Asaccus_tangestanensis;Asaccus tangestanensis;Genus Hajars;0;1;0;1;No Arabia
Asaccus;zagrosicus;Asaccus_zagrosicus;Asaccus zagrosicus;Genus Hajars;0;1;0;1;No Arabia
Aspidoscelis;tigris;Aspidoscelis_tigris;Aspidoscelis tigris;Backbone;0;1;0;1;No Arabia
Bipes;canaliculatus;Bipes_canaliculatus;Bipes canaliculatus;Backbone;0;1;0;1;No Arabia
Blanus;strauchi;Blanus_strauchi;Blanus strauchi;Backbone;0;1;0;1;No Arabia
Bunopus;blanfordii;Bunopus_blanfordii;Bunopus blanfordii;de Pous J27;0;1;0;1;No Arabia
Bunopus;crassicauda;Bunopus_crassicauda;Bunopus crassicauda;Genus Hajars;0;1;0;1;No Arabia
Bunopus;tuberculatus;Bunopus_tuberculatus;Bunopus tuberculatus;Genus Hajars;0;1;1;0;Arabia
Cadea;blanoides;Cadea_blanoides;Cadea blanoides;Backbone;0;1;0;1;No Arabia
Calotes;versicolor;Calotes_versicolor;Calotes versicolor;Backbone;0;1;0;1;No Arabia
Carphodactylus;laevis;Carphodactylus_laevis;Carphodactylus laevis;Backbone;0;1;0;1;No Arabia
Casarea;dussumieri;Casarea_dussumieri;Casarea dussumieri;Backbone;0;1;0;1;No Arabia
Celestus;enneagrammus;Celestus_enneagrammus;Celestus enneagrammus;Backbone;0;1;0;1;No Arabia
Cerastes;cerastes;Cerastes_cerastes;Cerastes cerastes;HAJARS_no_endem;0;1;1;0;Arabia
Cerastes;gasperettii;Cerastes_gasperettii;Cerastes gasperettii;HAJARS_no_endem;0;1;1;0;Arabia
Cerastes;vipera;Cerastes_vipera;Cerastes vipera;HAJARS_no_endem;0;1;0;1;No Arabia
Chalarodon;madagascariensis;Chalarodon_madagascariensis;Chalarodon madagascariensis;Backbone;0;1;0;1;No Arabia
Chalcides;ocellatus;Chalcides_ocellatus;Chalcides ocellatus;HAJARS_no_endem;0;1;1;0;Arabia
Chamaeleo;calyptratus;Chamaeleo_calyptratus;Chamaeleo calyptratus;Backbone;0;1;1;0;Arabia
Colobosaura;modesta;Colobosaura_modesta;Colobosaura modesta;Backbone;0;1;0;1;No Arabia
Corytophanes;cristatus;Corytophanes_cristatus;Corytophanes cristatus;Backbone;0;1;0;1;No Arabia
Ctenophorus;adelaidensis;Ctenophorus_adelaidensis;Ctenophorus adelaidensis;Backbone;0;1;0;1;No Arabia
Cylindrophis;ruffus;Cylindrophis_ruffus;Cylindrophis ruffus;Backbone;0;1;0;1;No Arabia
Cyrtopodion;scabrum;Cyrtopodion_scabrum;Cyrtopodion scabrum;HAJARS_no_endem;0;1;1;0;Arabia
Daboia;russelii;Daboia_russelii;Daboia russelii;Backbone;0;1;0;1;No Arabia
Dibamus;novaeguineae;Dibamus_novaeguineae;Dibamus novaeguineae;Backbone;0;1;0;1;No Arabia
Diplometopon;zarudnyi;Diplometopon_zarudnyi;Diplometopon zarudnyi;Backbone;0;1;1;0;Arabia
Dipsosaurus;dorsalis;Dipsosaurus_dorsalis;Dipsosaurus dorsalis;Backbone;0;1;0;1;No Arabia
Echis;borkini;Echis_borkini;Echis borkini;Genus Hajars;0;1;1;0;Arabia
Echis;carinatus;Echis_carinatus;Echis carinatus;Genus Hajars;0;1;1;0;Arabia
Echis;coloratus;Echis_coloratus;Echis coloratus;Genus Hajars;0;1;1;0;Arabia
Echis;jogeri;Echis_jogeri;Echis jogeri;Genus Hajars;0;1;0;1;No Arabia
Echis;khosatzkii;Echis_khosatzkii;Echis khosatzkii;Genus Hajars;0;1;1;0;Arabia
Echis;leucogaster;Echis_leucogaster;Echis leucogaster;Genus Hajars;0;1;0;1;No Arabia
Echis;ocellatus;Echis_ocellatus;Echis ocellatus;Genus Hajars;0;1;0;1;No Arabia
Echis;omanensis;Echis_omanensis;Echis omanensis;Hajars;1;0;1;0;Arabia
Echis;pyramidum;Echis_pyramidum;Echis pyramidum;Genus Hajars;0;1;0;1;No Arabia
Enyalioides;laticeps;Enyalioides_laticeps;Enyalioides laticeps;Backbone;0;1;0;1;No Arabia
Eryx;jayakari;Eryx_jayakari;Eryx jayakari;Backbone;0;1;1;0;Arabia
Eublepharis;macularius;Eublepharis_macularius;Eublepharis macularius;Backbone;0;1;0;1;No Arabia
Gallotia;bravoana;Gallotia_bravoana;Gallotia bravoana;Backbone;0;1;0;1;No Arabia
Gallotia;caesaris_cae;Gallotia_caesaris_cae;Gallotia caesaris caesaris;Backbone;0;1;0;1;No Arabia
Gallotia;caesaris_gom;Gallotia_caesaris_gom;Gallotia caesaris gomerae;Backbone;0;1;0;1;No Arabia
Gallotia;galloti_eis;Gallotia_galloti_eis;Gallotia galloti eisentrauti;Backbone;0;1;0;1;No Arabia
Gallotia;galloti_pal;Gallotia_galloti_pal;Gallotia galloti palmae;Backbone;0;1;0;1;No Arabia
Gallotia;intermedia;Gallotia_intermedia;Gallotia intermedia;Backbone;0;1;0;1;No Arabia
Gallotia;simonyi;Gallotia_simonyi;Gallotia simonyi;Backbone;0;1;0;1;No Arabia
Gambelia;wislizenii;Gambelia_wislizenii;Gambelia wislizenii;Backbone;0;1;0;1;No Arabia
Geocalamus;acutus;Geocalamus_acutus;Geocalamus acutus;Backbone;0;1;0;1;No Arabia
Gerrhopilus;mirus;Gerrhopilus_mirus;Gerrhopilus mirus;Backbone;0;1;0;1;No Arabia
Heloderma;suspectum;Heloderma_suspectum;Heloderma suspectum;Backbone;0;1;0;1;No Arabia
Hemidactylus;adensis;Hemidactylus_adensis;Hemidactylus adensis;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;afarensis;Hemidactylus_afarensis;Hemidactylus afarensis;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;albopunctatus;Hemidactylus_albopunctatus;Hemidactylus albopunctatus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;alfarraji;Hemidactylus_alfarraji;Hemidactylus alfarraji;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;alkiyumii;Hemidactylus_alkiyumii;Hemidactylus alkiyumii;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;angulatus;Hemidactylus_angulatus;Hemidactylus angulatus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;asirensis;Hemidactylus_asirensis;Hemidactylus asirensis;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;awashensis;Hemidactylus_awashensis;Hemidactylus awashensis;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;barbierii;Hemidactylus_barbierii;Hemidactylus barbierii;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;barodanus;Hemidactylus_barodanus;Hemidactylus barodanus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;brasilianus;Hemidactylus_brasilianus;Hemidactylus brasilianus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;citernii;Hemidactylus_citernii;Hemidactylus citernii;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;dawudazraqi;Hemidactylus_dawudazraqi;Hemidactylus dawudazraqi;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;dracaenacolus;Hemidactylus_dracaenacolus;Hemidactylus dracaenacolus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;fasciatus;Hemidactylus_fasciatus;Hemidactylus fasciatus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;festivus;Hemidactylus_festivus;Hemidactylus festivus;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;flaviviridis;Hemidactylus_flaviviridis;Hemidactylus flaviviridis;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;forbesii;Hemidactylus_forbesii;Hemidactylus forbesii;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;foudaii;Hemidactylus_foudaii;Hemidactylus foudaii;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;frenatus;Hemidactylus_frenatus;Hemidactylus frenatus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;funaiolii;Hemidactylus_funaiolii;Hemidactylus funaiolii;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;granchii;Hemidactylus_granchii;Hemidactylus granchii;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;granosus;Hemidactylus_granosus;Hemidactylus granosus;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;granti;Hemidactylus_granti;Hemidactylus granti;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;hajarensis;Hemidactylus_hajarensis;Hemidactylus hajarensis;Hajars;1;0;1;0;Arabia
Hemidactylus;homoeolepis;Hemidactylus_homoeolepis;Hemidactylus homoeolepis;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;imbricatus;Hemidactylus_imbricatus;Hemidactylus imbricatus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;inexpectatus;Hemidactylus_inexpectatus;Hemidactylus inexpectatus;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;inintellectus;Hemidactylus_inintellectus;Hemidactylus inintellectus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;isolepis;Hemidactylus_isolepis;Hemidactylus isolepis;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;jumailiae;Hemidactylus_jumailiae;Hemidactylus jumailiae;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;kurdicus;Hemidactylus_kurdicus;Hemidactylus kurdicus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;laevis;Hemidactylus_laevis;Hemidactylus laevis;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;lanzai;Hemidactylus_lanzai;Hemidactylus lanzai;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;lavadeserticus;Hemidactylus_lavadeserticus;Hemidactylus lavadeserticus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;lemurinus;Hemidactylus_lemurinus;Hemidactylus lemurinus;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;longicephalus;Hemidactylus_longicephalus;Hemidactylus longicephalus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;luqueorum;Hemidactylus_luqueorum;Hemidactylus luqueorum;Hajars;1;0;1;0;Arabia
Hemidactylus;mabouia;Hemidactylus_mabouia;Hemidactylus mabouia;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;macropholis;Hemidactylus_macropholis;Hemidactylus macropholis;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;mandebensis;Hemidactylus_mandebensis;Hemidactylus mandebensis;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;masirahensis;Hemidactylus_masirahensis;Hemidactylus masirahensis;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;mindiae;Hemidactylus_mindiae;Hemidactylus mindiae;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;minutus;Hemidactylus_minutus;Hemidactylus minutus;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;montanus;Hemidactylus_montanus;Hemidactylus montanus;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;ophiolepis;Hemidactylus_ophiolepis;Hemidactylus ophiolepis;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;ophiolepoides;Hemidactylus_ophiolepoides;Hemidactylus ophiolepoides;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;oxyrhinus;Hemidactylus_oxyrhinus;Hemidactylus oxyrhinus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;palaichthus;Hemidactylus_palaichthus;Hemidactylus palaichthus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;pauciporosus;Hemidactylus_pauciporosus;Hemidactylus pauciporosus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;paucituberculatus;Hemidactylus_paucituberculatus;Hemidactylus paucituberculatus;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;persicus;Hemidactylus_persicus;Hemidactylus persicus;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;platycephalus;Hemidactylus_platycephalus;Hemidactylus platycephalus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;platyurus;Hemidactylus_platyurus;Hemidactylus platyurus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;pumilio;Hemidactylus_pumilio;Hemidactylus pumilio;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;robustus;Hemidactylus_robustus;Hemidactylus robustus;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;ruspolii;Hemidactylus_ruspolii;Hemidactylus ruspolii;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;saba;Hemidactylus_saba;Hemidactylus saba;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;shihraensis;Hemidactylus_shihraensis;Hemidactylus shihraensis;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;sinaitus;Hemidactylus_sinaitus;Hemidactylus sinaitus;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;smithi;Hemidactylus_smithi;Hemidactylus smithi;Genus Hajars;0;1;0;1;No Arabia
